"RegionName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"California",1,,,,,,,,,,,,,,,,,,1.15983274388447,1.02150537634409,1.02202868852459,1.02156999586435,1.04691568813201,1.05,1.07572115384615,1.09489051094891,1.11878858024691,1.08693181818182,1.1,1.125,1.095,1.1412216828479,1.19140625,1.33333333333333,1.39459459459459,1.45833333333333,1.41414141414141,1.40909090909091,1.375,1.39484978540773,1.4375,1.45562464669305,1.425,1.40286295865496,1.37692307692308,1.38888888888889,1.35714285714286,1.36666666666667,1.37987012987013,1.44111299072508,1.46176338281601,1.5005359056806,1.55367231638418,1.58535470798477,1.64023109243697,1.6409682007518,1.66666666666667,1.6,1.5740157480315,1.69651767892786,1.69213973799127,1.62254483347566,1.68429276315789,1.75,1.71275783040489,1.75,1.75,1.92857142857143,1.76916596461668,1.77222222222222,1.7769405573496,1.76411290322581,1.80786977698026,1.86034482758621,1.85,1.9375,1.98003984063745,2,1.99333333333333,2,2.04081632653061,2.03125,2.03703703703704,2.03169305293006,2.04330708661417,2.095
"Texas",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12598904443092,1.11448140900196,1.06257110352673,1.07655502392344,1.06060606060606,1.0597302504817,1.06937449866448,0.945232969766552,0.895227272727273,0.885852630490154,0.904010519395135,0.937640892696123,1.00942562237138,1,0.989161827077891,0.921743947364844,0.882658359293873,0.864312267657993,0.894454382826476,0.863636363636364,0.866462793068298,0.86,0.859291084854995,0.853813011632917,0.868685532030402,0.866425992779783,0.869920209571849,0.861266294227188,0.883333333333333,0.9375,0.939793317160077,0.929679420889349,0.94835646439765,0.938194444444444,0.944444444444444,0.950570342205323,0.950570342205323,0.957449757449757,0.935596170583116,0.933333333333333,0.924212380361574,0.928682170542636,0.963718820861678,0.96958174904943,0.972222222222222,0.972222222222222,0.954877772446151,0.957773356911288,0.96401028277635,0.962829255248028,0.96875,0.965277777777778
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48435972629521,3.35294117647059,3.29411764705882,3.16082121471343,3.06777645659929,3.05882352941176,3.10344827586207,3.1037037037037,3.14472222222222,3.25,3,3.02613480055021,3.05433212834474,3.10123138799741,3.07076101468625,3,2.9289928143918,2.89968652037618,2.91666666666667,2.90368271954674,2.91878172588833,3.0379746835443,3.11111111111111,3.07692307692308,3.18181818181818,3.125,3.1,3.11173974540311,3,2.92642140468227,3.08441334916783,3.05343511450382,3,3.07692307692308,3.125,3.11875,3.11111111111111,3.0625,2.997,2.875,2.83333333333333,2.83333333333333,2.8
"Florida",4,,,,,,,0.867507886435331,0.867507886435331,0.874213836477987,0.875528177372644,0.882028665931643,0.894458393113343,0.916666666666667,0.940828402366864,0.960298452468681,0.963803572943289,0.982199438710845,0.973684210526316,0.963537549407115,0.971849865951743,0.974357139650257,0.944444444444444,0.956011472275335,0.958083832335329,0.955148177223885,0.980941704035874,1,1.01086956521739,1.01807294501905,1.03065752263115,1.11607142857143,1.15757575757576,1.20249187355471,1.22222222222222,1.3282970233934,1.29533678756477,1.25,1.23222748815166,1.2075188443302,1.18811881188119,1.19194457416344,1.19705919981834,1.21428571428571,1.22448979591837,1.24348940672219,1.22950819672131,1.23212885435132,1.27272727272727,1.25477050774165,1.27164502164502,1.29533678756477,1.27586206896552,1.26923076923077,1.25,1.26512651265127,1.27272727272727,1.25023864070256,1.26526036423538,1.31233595800525,1.3548951048951,1.3996138996139,1.41800246609125,1.47887323943662,1.38888888888889,1.42065142065142,1.42344322344322,1.38888888888889,1.37987012987013,1.3968712484994,1.47124416225009,1.5,1.44265456765457,1.4590395480226,1.45118733509235,1.4756517461879,1.48267182057481,1.5018315018315,1.4994829369183,1.5,1.52823529411765,1.52785095422082,1.50571131879543,1.52198421645998,1.53333333333333,1.5625
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69444444444444,1.771875,1.825,1.83333333333333,1.84615384615385,1.73333333333333,1.72727272727273,1.75,1.77423659112783,1.7,1.75,1.75,1.7375,1.74375,1.75,1.72660766961652,1.78571428571429,1.785,1.92913367174281,1.98198198198198,1.9733387294192,1.86465019834115
"Pennsylvania",6,,,,,,,,,,,,,,,,,,,,,,0.772357723577236,0.792682926829268,0.8,0.835416666666667,0.830823293172691,0.853571428571429,0.876262626262626,0.891354808440236,0.914285714285714,0.943813131313131,1,1.05405405405405,1.07078189300412,1.13095238095238,1.07638888888889,1.05909090909091,1.06666666666667,1.05464480874317,1.05,1.05555555555556,1.05,1.02702702702703,0.977272727272727,1,1,0.988630490956072,0.996153846153846,1,1.04851398601399,1.0845632264882,1.08333333333333,1.08064516129032,1.06086956521739,1.07275132275132,1.02990514905149,1,0.992063492063492,1,0.966722739820566,0.983333333333333,0.962912087912088,0.986282881821751,1.03983835415136,1.08333333333333,1.06,1.07454667562122,0.966850828729282,1,1,0.944444444444444,0.988039443155452,1.01232394366197,1.03656417112299,1.05,1.06666666666667,1.06088560885609,1.05263157894737,1.0625,1.03571428571429,1.03125,1.03030303030303,1.05555555555556,1.03708791208791,1.02885682574917
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6875,0.688773148148148,0.6875,0.697443502824859,0.691666666666667,0.678652230122818,0.666666666666667,0.662207654145996,0.647058823529412,0.666666666666667,0.628827573392791,0.647299903567985,0.681818181818182,0.686491935483871,0.709005376344086,0.714285714285714,0.713114754098361,0.734767025089606,0.71115890382455,0.706954887218045,0.694888178913738,0.714627151051625,0.7,0.645833333333333,0.649496113205791,0.654761904761905,0.714285714285714,0.714285714285714,0.720750360750361,0.706766917293233,0.749525616698292,0.748362956033676,0.714285714285714,0.660184305027461,0.715789473684211,0.6875,0.714285714285714,0.71875,0.751366120218579,0.780141843971631,0.76463963963964,0.754722222222222,0.721305916305916,0.714285714285714,0.74375,0.756628787878788,0.756575263504611,0.739309210526316,0.75
"Michigan",8,0.694281045751634,0.71875,0.75,0.759090909090909,0.796875,0.755658436213992,0.802139037433155,0.777777777777778,0.785971223021583,0.720833333333333,0.720833333333333,0.71875,0.726014189557941,0.755952380952381,0.783203248937115,0.772727272727273,0.785714285714286,0.75,0.733333333333333,0.738765928906774,0.742857142857143,0.746789618148841,0.744116832779623,0.722222222222222,0.718181818181818,0.748953974895398,0.75,0.751157407407407,0.78125,0.779910714285714,0.785714285714286,0.790384615384615,0.823577003616981,0.839310415492597,0.81642413487134,0.818181818181818,0.828571428571429,0.833333333333333,0.838981836933478,0.846153846153846,0.872950819672131,0.85,0.845299145299145,0.86374695863747,0.85,0.849358974358974,0.849358974358974,0.840449770944386,0.857142857142857,0.872359963269054,0.884321223709369,0.875,0.857142857142857,0.867172812725958,0.884615384615385,0.875,0.890771765668034,0.883919227696899,0.86875,0.88125,0.88336192109777,0.878571428571429,0.875,0.8975,0.847184065934066,0.923494983277592,0.961538461538462,0.939797922209553,0.916666666666667,0.980392156862745,0.994097222222222,0.935704514363885,0.906344410876133,0.991666666666667,0.971428571428571,0.978325694805432,0.957852706299911,0.933532486930545,0.984090909090909,0.9375,0.981696428571428,0.964285714285714,0.952,0.95,0.832369652406417
"Georgia",9,,,,,,,,,,,,,,,,,,0.727828092959672,0.603471017635155,0.6245,0.597874694031256,0.576923076923077,0.571130952380952,0.576923076923077,0.586101078308208,0.578703703703704,0.58948056580169,0.601430429128739,0.607036025490961,0.608766233766234,0.615114235500879,0.622251232956194,0.656521739130435,0.666666666666667,0.702302096767711,0.680370239216372,0.659340659340659,0.664903381642512,0.688231245698555,0.707805842970176,0.666666666666667,0.644864254737718,0.647363608655898,0.662759242560866,0.673243503368624,0.65359477124183,0.659939668174962,0.680515759312321,0.668286755771567,0.662425298804781,0.669642857142857,0.684962406015038,0.719860883797054,0.703125,0.676470588235294,0.680693069306931,0.680786686838124,0.678593489521315,0.6875,0.69975,0.692307692307692,0.716897863483448,0.729411764705882,0.749464668094218,0.748304527309018,0.750417130144605,0.741033501948169,0.760338345864662,0.744786494538232,0.733874082657397,0.730769230769231,0.796988224637681,0.793884220354809,0.817647058823529,0.857142857142857,0.877813504823151,0.863767988767989,0.9,0.9125,0.931698155645524,0.918367346938776,0.872093023255814,0.914285714285714,0.915492957746479,0.90066231485723
"North Carolina",10,,,,,,,,,0.659282700421941,0.655140867779791,0.668918918918919,0.687814070351759,0.687176538240368,0.731843314787297,0.757832345469941,0.768321513002364,0.752794579849374,0.714285714285714,0.653131287869315,0.66793893129771,0.687293046357616,0.693909020817271,0.688461538461538,0.675,0.725,0.731578947368421,0.740740740740741,0.763888888888889,0.770303527481542,0.770303527481542,0.75,0.73921188630491,0.745587474120083,0.763636363636364,0.765867393110425,0.76531435154707,0.763523391812865,0.763523391812865,0.759550087045197,0.77047619047619,0.789146779993462,0.780135823429542,0.788624787775891,0.796296296296296,0.77850697292863,0.78125,0.783333333333333,0.791666666666667,0.788624787775891,0.77850697292863,0.784655623365301,0.812244897959184,0.783632159508737,0.77724358974359,0.777866880513232,0.75609756097561,0.759372690317812,0.753424657534247,0.763952424519671,0.757974185079851,0.758474576271186,0.773331294297763,0.789196870155754,0.817587641117053,0.78,0.789473684210526,0.804859140124041,0.811298076923077,0.77390843923102,0.802919708029197,0.817914438502674,0.763952424519671,0.822603866721514,0.828675426136364,0.833333333333333,0.877834674469642,0.877834674469642,0.866666666666667,0.875,0.867842081416423,0.864426877470356,0.867741935483871,0.875,0.882352941176471,0.870646766169154
