"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"Idaho",39,154900,157900,154900,149900,149900,149900,150000,155000,159900,155900,149900,148000,139790,135000,139400,141000,149900,149900,149900,149900,145000,139900,134900,129900,130000,133500,137500,139900,145000,146948,145000,149900,146000,148000,173900,170000,173990,175000,179900,185000,189900,189900,194000,191990,194900,189900,184900,165000,166787,176900,182990,189900,192500,195900,198500,197990,197990,195882.5,191900,189990,190990,192990,198500,215000,216245,220000,221182,220000,224900,225000,225000,226990,227900,225000,225424,230990,239900,245000,246990,245000,247000,248500,247500,249485,249900,250000,251271,262708,269900,271990,274694,269000,268550.5,269000,272490,277000,281900
"Hawaii",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510000,549000,550000,549000,550000,549000,555000,575000,580000,585000,595000,599000,6e+05,599000,599000,588000,590000,599000,610000,624700,630000,619000,599000,599000,599000,619000,629000,625000,639000,615000,644900,639900,643500,630000,625000,626000,625000,665000,639000,668000,679000,679000,689000,695000,689000,690000,680000,689250,679000,720000,724950,699999,699900,715000,725000,725000,721025,705000,699500,699000,715000,722000
"Maine",41,209900,205000,199999,2e+05,209000,209900,207000,209000,2e+05,199900,199900,199000,195000,197000,199000,199500,199900,199900,199900,199900,199500,199000,189900,189000,180000,185000,189900,195000,189900,190000,195000,194900,194000,185000,193500,190000,189111,189900,189900,196500,199000,199000,199000,196599,196000,196100,190000,189900,188500,189000,189900,195000,199500,199900,199900,199900,199000,199000,198500,194900,189900,189900,195000,199000,199900,204100,209000,204900,199900,2e+05,199900,199000,195000,191000,199000,204900,212000,212200,215000,215000,215000,215000,210000,205000,199900,2e+05,210000,220000,225000,229000,229900,229000,229900,229000,225000,225000,219900
"New Hampshire",42,254900,249900,249000,249000,249900,249900,244900,240000,239900,239900,248000,239900,235000,232700,230000,236500,239900,239900,239900,239000,234900,229900,225000,219000,215000,214900,224900,224900,229000,225000,225000,225000,224900,224900,229900,229000,229000,229900,235000,239900,245000,245597.5,244900,239900,239900,239900,239000,236450,232200,232900,242400,249000,249900,250000,250000,249900,249900,249900,249000,249000,249250,249900,249900,254900,259900,259900,259900,255000,254999,253000,250000,249900,249900,249900,259900,264900,269900,273900,272900,269900,269900,269900,269900,269000,269900,274900,279900,284999.5,289000,289900,289900,289900,289900,289900,289900,289900,289900
"Rhode Island",43,268900,260000,259900,264900,265000,259900,260000,262500,269000,259900,249900,249000,239900,239000,239000,239900,239900,239900,239900,239900,239000,232750,225000,219900,219900,219000,227000,229900,239000,239900,239900,239000,239900,239900,243900,239900,239000,239900,244700,255000,259900,259900,259900,259900,259900,259000,254000,249900,249900,249900,255900,264900,269900,269900,274900,269000,263100,259900,254900,249900,249900,250000,255000,269000,274200,279900,279900,279900,275000,275000,274900,269900,269000,265000,275000,279000,285000,289000,289500,279999,279900,279000,275000,269900,269900,275000,285000,299000,302450,309900,305000,299900,299900,299000,295900,289900,285000
"Montana",44,259900,255000,249900,249000,249000,249500,249000,249000,249000,245000,239900,242900,239900,239000,239900,239900,239875,240000,239900,239900,236000,234900,229000,224900,224900,220000,225000,227900,225000,225000,229000,225000,225000,220000,235000,225000,228500,239000,242000,259500,269000,269900,270000,269900,279000,275000,274900,274900,275000,274000,270000,269500,274900,275000,275000,270000,275000,274900,277900,275000,279900,279900,275000,283950,294900,297000,299000,297000,299000,299000,298500,295000,290000,289900,289900,289000,294500,294900,295000,295000,295000,294900,291900,294900,289900,290000,295000,298350,299900,304900,309500,305000,299900,299900,3e+05,3e+05,299900
"Delaware",45,234990,234990,234900,235000,229900,228750,224900,225000,229900,229000,225000,224900,224750,224000,224900,227000,229000,219000,199990,199900,198900,194999,190000,189900,189900,199900,218900,224990,223900,221999.5,223700,225900,225000,224900,232500,230000,239000,229900,234990,239000,245000,242900,244900,247968,249900,249000,242900,244900,240000,247990,249000,250000,255000,255900,254900,258900,259900,255000,255000,251990,254900,255000,259900,259900,262400,262400,260000,259990,269900,269900,269000,265000,267500,265900,269000,269900,269900,269900,274900,275990,274500,269990,269900,267700,264900,265000,269900,272250,272900,275000,276900,279000,277900,276900,275900,275000,275000
"South Dakota",46,174900,170000,169500,165900,169200,169900,169900,169900,167000,164900,164900,162900,159900,159900,159000,159000,165500,165000,165000,164900,164900,162250,159900,159900,159900,159900,159900,159900,159900,159900,159900,159900,159000,156800,159000,159000,158000,159900,162900,165000,168000,169900,169900,169900,169900,169900,169000,167900,169500,169900,172900,174000,174900,176000,179200,177500,178629,175650,173950,169850,169500,169900,175000,179000,188000,189900,198500,198500,195900,192900,189900,189900,190000,190000,194900,199900,203950,205000,204900,199999,199900,199900,2e+05,204900,204450,207000,209900,210000,214000,214900,215900,214900,215250,218250,218900,217900,219000
"Alaska",47,259900,260000,265000,265000,269000,269900,269000,269500,271400,264900,249900,245000,239000,244500,249000,250000,258700,258700,257900,253000,249900,245000,239900,235000,236900,237755,235000,239500,240000,239500,238350,239000,236000,231500,245900,245900,249500,250000,259900,262500,265000,260000,265000,265000,259900,259900,254000,250000,250000,259900,260000,267000,265000,269900,265000,267925,260000,260000,250000,250000,257875,259900,271000,275000,275000,275000,279000,279000,279900,279900,279900,279900,279000,285000,289900,295000,295000,295000,290000,290000,292000,289000,287500,284000,279900,281750,289000,295000,295000,295000,295000,293000,292749.5,294900,289000,285000,284000
"Vermont",48,250000,250000,250000,249900,250000,250000,250000,249900,249900,249000,249900,249000,249000,242250,244900,239900,245000,249000,249000,249000,249000,249000,245000,245000,244900,239900,240000,239000,239000,239500,239000,235900,235000,234900,230000,230000,235000,239000,236000,239000,239000,239000,239000,239000,236000,236000,235000,235000,235000,242250,248000,245000,247500,249000,240000,239500,239000,239000,239000,239000,239000,239000,239000,239000,239000,239000,239000,239000,235000,235900,238850,239000,235000,238900,239000,239900,245000,245000,245000,245000,246750,249000,249500,249000,249000,249500,249000,249100,250000,250000,250000,250000,255000,259000,259000,259600,259000
"District of Columbia",49,269900,269900,289900,299999,310950,318950,324000,3e+05,350000,349000,320000,324955,319925,325000,349000,364000,386650,399000,334000,359900,369500,375000,374900,369000,385000,399000,399000,415000,399999,429900,415000,384950,399900,420000,460995,450000,469950,490500,499900,549700,579900,599000,579000,549000,575000,599450,586950,575000,554500,549000,580000,599000,599900,599000,592500,537500,550000,559990,549000,499900,499999,5e+05,559000,599900,625000,624450,575000,589000,602500,605000,599900,587747.5,612400,625000,639900,681950,699900,699999.5,699900,679900,685000,680000,650000,649900,625000,609950,639990,669000,679250,674500,654000,620000,659500,649900,648000,617000,599000
"Wyoming",50,220000,214000,213500,210000,210000,209000,210000,210000,214000,207750,205000,199900,199900,197700,199900,205000,213900,212000,219500,220000,219900,215900,218000,215000,217000,209000,209000,210000,214900,215000,219000,219900,215000,215000,214900,215000,215000,215000,215000,216000,219500,219900,219500,219500,223475,219900,215000,216000,217000,222850,225000,225900,229800,234000,233000,235000,240000,235000,238000,239000,235000,232700,230000,229900,234900,237000,240000,240000,241950,241500,240000,239000,234900,234900,235000,237850,239900,242000,242000,239900,240000,239900,238800,235000,232500,232000,235000,237000,239000,239900,242500,239500,239000,236900,237500,235450,235000
