"RegionName","RegionType","StateFullName","DataTypeDescription","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"South Carolina","State","South Carolina","All Homes",44952,48264,49995,50732,48738,50618,50586,48952,49049,46316,45989,46172,44766,45690,47506,48574,48718,50075,52792,53006,50098,48656,49210,45394,43177,45409,46144,45346,45326,44767,43385,42585,42330,41190,40246,38712,37535,38934,41090,42130,42719,43473,42417,42312,41818,41631,40795,39840,37833,39452,40244,42150,43237,43494,43266,42002,42444,41609,41006,39297,37454,37766,36098,33985,33698,36010,36731,37312,36807,35752,33059,32650,30780,31330,31770,32454,32685,33397,33599,33283,32752,32192,31201,30242,29265,30150,30467,30637,30558,30238,30344,30040,29590,29368,28892,27639,26492
"Louisiana","State","Louisiana","All Homes",15691,16388,16298,16346,16090,16765,18334,18032,17978,17527,17248,16932,16568,17145,17251,17663,17382,17824,18594,18521,17618,17414,17734,16902,15972,16185,16562,15304,15377,15780,15078,15123,15212,14912,15175,13911,13406,14322,14256,14172,14440,14666,14419,14802,14678,14563,14578,14066,13322,13377,13516,13915,14696,14712,14763,14814,14544,14296,14160,13751,12884,13160,13402,13701,14316,14661,14686,15005,14774,14496,13864,13287,12419,12884,13379,13649,14080,14634,15540,15685,15180,15114,15102,14344,14002,15470,15771,16036,18075,18482,18979,19189,19602,19532,19494,19002,18517
"Kentucky","State","Kentucky","All Homes",21218,21348,21656,22886,22222,22619,23873,24642,25046,24630,24434,23825,22396,23118,24075,25416,26394,26989,27576,27640,26842,27178,26581,24231,22848,23141,23476,23392,23834,24996,24636,24538,24648,24110,23427,22742,21636,22074,23494,24153,25079,25378,24948,25050,24808,24570,23674,22286,21065,20741,20900,22078,22970,24036,24725,24998,24872,24457,23457,22210,20777,20466,20094,19734,20566,21852,22147,22110,21890,21246,20010,18438,17072,16750,17045,17756,18226,18794,19374,19486,19249,18820,17981,16706,15632,15992,15816,15601,15687,16543,16714,17073,17076,17008,16674,15412,14114
"Oregon","State","Oregon","All Homes",25830,26108,29927,30939,29783,30937,32358,32505,31872,30560,29306,28412,26276,26962,28920,29306,28685,29801,31872,32420,30054,29240,29149,27384,25518,25332,24325,22626,23161,24414,24404,23789,23514,22066,20270,18227,16731,17670,18240,18978,20357,21193,21800,23398,23176,22134,20514,19034,16871,16979,17550,19062,21858,23414,24083,24624,24230,22844,20502,18219,16354,16059,16744,17005,19060,20222,20816,21441,20994,19077,17364,15151,13034,12768,13027,13878,15064,16680,18004,18786,18286,17158,15579,13882,12312,11772,11763,12346,13373,15218,16563,17637,17435,16548,14731,12889,11432
"Oklahoma","State","Oklahoma","All Homes",20999,21268,22240,22667,21892,21879,22687,22666,24761,24414,25086,25283,24666,24524,24605,25361,24678,25555,27087,26151,25270,25146,25011,24086,21078,21409,21652,20969,21675,22780,21230,20503,21002,20459,20252,19356,18709,18907,19088,19550,19944,20297,20347,20393,20048,19578,19142,18263,17284,17294,17333,17823,18735,19178,19570,19708,19834,19283,18588,17383,16847,17055,17148,16259,17585,17816,18447,18980,19173,19166,18995,18266,16776,17650,18548,19651,19204,19766,20484,20683,20422,20086,19133,18499,17704,18870,20004,19800,19536,20228,20838,20954,20798,20250,19992,18952,18047
"Connecticut","State","Connecticut","All Homes",21592,22583,24064,25696,25852,26706,26734,25866,25515,24950,24942,23948,23334,23271,24971,27723,29518,30373,32719,33204,32016,31562,30090,27206,25156,25427,28634,29866,31354,32300,31322,29942,29201,26606,24646,22112,20269,21014,22050,23659,25265,26145,25934,25813,26065,25513,24292,22162,20245,20538,21464,23674,27184,28877,29161,29116,28699,28037,27103,22871,21814,21352,21417,23543,25851,27668,28055,28319,27838,26974,24610,21824,19068,18903,20126,22144,23383,24392,24264,24143,23242,22602,20639,18592,17280,16976,17533,18472,19806,20622,20252,22892,22226,21736,20231,17728,13806
"Iowa","State","Iowa","All Homes",11648,11865,12995,13493,13577,13695,14624,14460,15766,15713,15564,15521,14904,15472,16958,17449,18194,18656,19079,19481,18930,18538,18226,16753,15820,16032,16410,17014,17151,18046,17790,17581,17544,17303,16423,14728,14007,15044,15298,15890,16554,16930,16892,17110,16898,16537,16028,14794,13583,13618,13752,14853,15640,16286,16532,16602,16686,16419,15612,14313,13475,13452,13583,10945,12234,12892,12964,13316,13574,13552,12888,12014,11006,10868,11119,11954,12416,13073,13523,13852,13738,13692,13340,12799,12003,12161,12151,12317,12344,12457,12668,12781,13783,13535,12751,11978,11236
"Mississippi","State","Mississippi","All Homes",12710,13202,13534,13792,13592,13672,14452,13958,13801,14415,13972,13590,12716,13854,14437,14735,14566,14451,14416,14521,13403,13660,13339,12380,11592,12544,12865,12346,12340,12778,12464,11838,11724,11592,12548,12466,11875,12320,12968,12942,13243,13524,13554,13562,13604,13464,13176,12826,11999,11713,11792,12243,12692,12875,12828,12908,12912,12868,12802,12516,12006,12246,12632,9566,10078,10390,10633,10902,10721,11502,12050,11488,10740,10900,11258,11808,12102,12440,12702,12801,13223,13248,13013,12622,12181,12646,12333,12288,12141,11956,12323,12409,12155,11903,12197,11432,11129
"Arkansas","State","Arkansas","All Homes",17418,17690,18312,18335,17988,18673,19678,19340,19057,18878,19084,17985,17800,19774,20159,20831,20539,20414,21414,21332,20263,20054,20140,19275,18224,18283,18707,18686,19068,19863,19400,19513,19736,19928,19904,19028,18073,18466,19048,19734,20385,21157,21052,19792,19784,20445,20381,19718,18649,18970,18988,19778,20386,19768,20053,20252,20224,20505,20077,19504,18590,18992,18777,14656,15414,15879,17701,17838,17209,17286,17142,16358,15877,16460,17094,17568,17936,18640,19126,19008,18532,18286,17706,17039,16280,16604,16569,16685,15316,16280,16704,17037,16854,16262,15954,15361,14474
"Kansas","State","Kansas","All Homes",15058,15165,17019,17582,17257,18461,18795,18412,18738,18194,17078,16519,15596,15566,17001,17773,17458,17570,18264,17974,17433,17145,16657,15102,14321,14471,15266,15092,14168,14022,13732,13725,13330,12836,12448,11296,10939,11396,11666,11944,12318,12487,12549,12506,12318,12150,11700,11022,10205,10158,10464,11198,12353,12627,12757,12370,12277,12249,11646,10479,9946,10083,10298,9403,10663,11126,11347,11522,11335,11311,10880,10092,9026,9132,9624,10248,10738,11397,11746,11759,11702,11441,11037,10210,9668,10012,10169,10826,10973,11256,11376,11311,11480,11382,10895,10156,9436
