"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"Missouri",18,,,,,,,,,,,,850,850,897.5,950,950,962.5,900,950,995,950,900,900,900,795,750,795,785,750,775,785,750,750,750,750,750,750,795,800,800,797.5,795,800,810,825,775,795,775,750,750,750,850,892.5,900,875,850,825,775,800,850,795,850,875,895,925,900,900,875,850,850,850,850,825,800,850,860,850,800,800,800,800,800,850,850,875,845,825,850,895,895,860,895,895,870,862,850
"Maryland",19,1600,1600,1600,1650,1700,1750,1750,1695,1650,1625,1650,1600,1600,1600,1649.5,1650,1700,1700,1700,1675,1650,1650,1600,1600,1600,1600,1500,1550,1600,1600,1600,1600,1600,1600,1573.5,1575,1595,1595,1600,1600,1645,1650,1650,1650,1650,1600,1695,1650,1600,1600,1600,1700,1700,1750,1735,1700,1700,1695,1675,1695,1677.5,1700,1700,1700,1750,1750,1700,1700,1695,1695,1650,1650,1650,1650,1695,1700,1700,1745,1750,1650,1695,1675,1675,1650,1650,1650,1695,1700,1725,1725,1700,1695,1675,1670,1650,1650
"Wisconsin",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,850,799,825,797,795,825,799,825,825,895,800,850,775,762.5,725,750,735,795,820,840,850,867.5,900,865,850,885,895,810,825,865,850,900,870,900,927.5,900,900,875,810
"Minnesota",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887.5,923.5,940,968,910,852.5,902.5,1000,1008,937.5,950,995,1090,1000,1000,1100,1095,1050,1100,1100,1074,995,950,900,975,990,1014,1011.5,1100,1095,1100,1047.5,1080,1075,1050,1080,1050,1025,1042.5,1000,945,995,1069.5,1100,1075,995,1000,1015,1085,1086,1056,1100,1195,1100,1195,1195,1175,1120.5,1200,1150
"Colorado",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020,1020,1000,1000,925,900,935,995,995,1050,1050,1020,1000,1000,999.5,999,995,1087.5,1045,1179.5,1148,1095,1075,1100,1095,1100,1148,1120,1165,1100,1200,1335,1200,1195,1112.5,1147,1300,1160,1272,1335,1350,1345,1360,1375,1375,1366.5,1359.5,1390,1435
"Alabama",23,,,,,1150,1095,1000,1050,985,1025,1000,950,950,950,995,997.5,999.5,1000,975,950,989,995,1000,1000,1000,1075,895,878,900,900,900,895,880,920,875,857.5,850,895,900,900,875,895,900,995,950,892.5,950,925,900,900,900,950,995,995,995,975,950,950,950,950,950,975,975,995,995,950,950,950,950,950,925,925,925,950,975,950,995,995,950,950,950,989.5,950,950,995,995,995,1000,1000,1000,990,995,985,975,975,950
"South Carolina",24,,,,,,,,,,,,,1100,1197.5,1200,1150,1100,1100,1185,1150,1100,1100,1100,1100,1100,1100,1097,1100,1100,1150,1075,1100,1100,1100,1100,1025,1050,1100,1125,1095,1100,1145,1150,1200,1200,1192.5,1100,1100,1100,1100,1100,1200,1195,1200,1250,1200,1200,1195,1200,1250,1200,1250,1275,1275,1250,1200,1200,1195,1150,1150,1200,1200,1250,1252,1250,1300,1300,1295,1295,1250,1200,1295,1250,1250,1250,1255,1395,1325,1300,1295,1300,1332.5,1325,1300,1300,1300
"Louisiana",25,,,,,,,,,,,,,1200,1200,1300,1300,1278,1300,1300,1250,1247,1300,1300,1300,1200,1200,1250,1250,1250,1300,1295,1262.5,1218,1250,1211,1250,1300,1300,1300,1300,1350,1300,1300,1350,1300,1300,1300,1275,1250,1250,1250,1300,1300,1300,1300,1300,1300,1300,1300,1295,1250,1300,1300,1300,1300,1350,1350,1300,1285,1300,1300,1300,1300,1350,1400,1300,1300,1350,1350,1300,1300,1300,1300,1300,1300,1350,1375,1400,1400,1400,1375,1300,1300,1300,1300,1300
"Kentucky",26,,,,,,,,,,925,950,899.5,899,850,900,822.5,850,875,895,899,895,850,850,850,800,850,847.5,825,810,800,850,895,827.5,850,825,800,825,850,850,850,850,850,850,875,850,850,875,850,850,850,850,875,850,875,895,895,875,895,899,895,895,900,899,900,895,925,925,925,895,895,895,875,895,899,895,900,925,950,930.5,950,950,950,950,950,950,975,995,995,950,960.5,975,995,975,950,950,950
"Oregon",27,,,,,,,,,,,,,950,895,972.5,1025,1050,1062.5,1050,1012.5,1045,999.5,995,985,902,895,925,950,898,930,905,995,950,1000,895,875,895,895,895,995,895,895,997,1075,1075,1050,1050,1067.5,1025,1050,1000,995,991,1099.5,1155,1175,1175,1175,1145,1195,1140,1095,1175,1150,1155,1200,1250,1295,1295,1295,1280,1295,1300,1295,1295,1292.5,1275,1294,1300,1324,1295,1277.5,1275,1295,1340,1324.5,1330.5,1330.5,1349.5,1380,1375,1386,1355,1337,1324,1295
