"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"Louisiana",24,,,,,,,,,,,,,,,,,,,,,,,,,,1395,1300,1400,1500,1400,1300,1325,1450,1301.5,1350,1300,1350,1450,1300,1350,1300,1300,1250,1450,1487.5,1425,1400,1452,1400,1400,1450,1500,1452,1500,1597.5,1600,1595,1500,1400,1495,1600,1700,1600,1650,1600,1650,1675,1600,1572.5,1600,1500,1600,1530,1600,1625,1550,1560,1625,1600,1512.5,1400,1500,1500,1400,1400,1500,1600,1600,1650,1600,1600,1500,1512.5,1500,1500,1525
"Kentucky",25,,,,,,,,,,,,,,,1650,1700,1500,1500,1500,1350,1450,1475,1372.5,1400,1497.5,1525,1500,1372.5,1495,1475,1395,1400,1382.5,1382.5,1275,1250,1324.5,1450,1400,1397,1395,1400,1400,1400,1500,1450,1500,1400,1399,1395,1395,1500,1450,1447,1395,1495,1444,1495,1500,1500,1593,1575,1550,1500,1500,1500,1472.5,1434.5,1400,1475,1500,1495,1495,1550,1595,1580,1450,1500,1495,1350,1350,1400,1495,1397.5,1400,1599,1597,1550,1549,1500,1550,1575,1595,1550,1500,1500
"Oregon",26,,,,,,,,,,,,1200,1200,1245,1295,1300,1350,1445,1450,1495,1495,1495,1450,1447.5,1362.5,1450,1495,1495,1495,1550,1549,1495,1450,1450,1350,1395,1395,1450,1450,1457.5,1500,1595,1600,1650,1610,1595,1595,1550,1550,1500,1595,1600,1645,1685,1750,1795,1750,1750,1697,1700,1795,1800,1800,1795,1825,1850,1895,1942.5,1895,1800,1847.5,1850,1875,1895,1950,1920,1895,1975,1995,2075,1960,1940,1795,1995,2050,2000,2137.5,2200,2200,2200,2195,2100,2095,2025,2087.5,2000
"Oklahoma",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375,1395,1250,1300,1350,1300,1295,1395,1395,1495,1495,1500,1500,1500,1495,1495,1572.5,1500,1450,1395,1395,1395,1450,1495,1495,1500,1500,1500,1495,1450,1447.5,1495,1500,1535,1500,1495,1495,1495,1450,1400,1400,1445,1475,1495,1450,1450,1425,1475,1450,1450,1395,1345,1345,1345,1395,1400,1400,1400,1400,1445,1450,1400,1395,1350,1350,1362.5,1395
"Connecticut",28,,,,,,,,,,,,,,,2515,2700,2700,2500,2400,2200,2200,2200,2200,2200,2200,2400,2400,2500,2550,2500,2300,2400,2300,2200,2200,2200,2200,2200,2250,2400,2350,2300,2250,2200,2200,2050,2100,2000,2000,2000,2000,2200,2300,2225,2200,2100,2100,2100,2000,2050,2100,2100,2200,2250,2200,2250,2200,2200,2200,2100,2000,2100,2100,2200,2200,2300,2272.5,2200,2200,2200,2100,2000,1995,2000,2000,2000,2100,2225,2350,2300,2277.5,2200,2025,2100,2000,2000
"Iowa",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1400,1400,1350,1300,1300,1310,1400,1480,1525,1545,1400
"Mississippi",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1247.5,1399.5,1500,1400,1400,1500,1500,1450,1495,1455,1350,1450,1450,1650,1750
"Arkansas",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1300,1200,1325,1400,1450,1425,1325,1200,1200,1350,1350,1300,1300,1400,1450,1350,1400,1300,1200,1200,1200,1250,1395,1397.5,1395,1395,1400,1300,1300,1300,1375,1337.5,1425,1425,1500,1500,1500,1500,1425,1325,1500,1425,1500,1500,1500,1600,1400,1300,1300,1395,1250,1397.5,1350,1350,1200,1350,1375,1500,1425,1425,1500,1400,1497.5,1495,1500,1575,1450
"Kansas",32,,,,,,,,,,,,,,,,,,1500,1547.5,1495,1490,1350,1300,1300,1300,1400,1595,1550,1562.5,1550,1437.5,1350,1350,1350,1450,1467.5,1312.5,1350,1400,1500,1425,1400,1357.5,1450,1350,1385,1350,1300,1300,1300,1310,1400,1500,1495,1400,1400,1450,1450,1382.5,1375,1375,1425,1450,1495,1490,1485,1450,1350,1300,1395,1395,1397.5,1400,1395,1400,1450,1425,1450,1300,1300,1400,1337,1375,1425,1400,1400,1400,1400,1395,1395,1350,1310,1300,1375,1350,1375
"Utah",33,,,,,,,,,,,,,1200,1200,1175,1200,1200,1250,1250,1205,1250,1250,1205,1195,1200,1220,1250,1260,1250,1250,1250,1295,1250,1225,1225,1200,1250,1277.5,1300,1295,1295,1300,1300,1300,1300,1300,1295,1295,1295,1295,1300,1325,1300,1300,1300,1302.5,1300,1325,1335,1317.5,1350,1350,1325,1350,1350,1350,1350,1350,1375,1365,1350,1350,1395,1450,1400,1395,1445,1450,1450,1425,1450,1450,1450,1400,1450,1550,1500,1595,1600,1600,1595,1595,1575,1550,1595,1600
